"GHGRP_Facility_ID__c","Account Name","Account Site","Parent_Company__c","EPA_Industry_Sector__c","Billing Street","Billing City","Billing State/Province","Billing Country","Billing Zip/Postal Code","Target_Decision_Maker_Role__c","Campaign_Segment__c","Rating","Description"
"GHGRP-1000656","The President and Fellows of Harvard University (Cambridge Allston Blackstone) - Cambridge, MA","The President and Fellows of Harvard University (Cambridge Allston Blackstone)","PRESIDENT & FELLOWS OF HARVARD COLLEGE","Other","46 Blackstone Street","Cambridge","Massachusetts","United States","02139","Director of Facilities","Facilities and Institutions","Hot","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1001974","Georgia-Pacific Gypsum - Newington, NH","Georgia-Pacific Gypsum","KOCH INDUSTRIES INC","Minerals","170 Shattuck Way","Newington","New Hampshire","United States","03801","Plant Manager","Industrial High-Load","Hot","Industrial process-load prospect with potential power and natural-gas purchasing needs."
"GHGRP-1009982","Analog Devices Inc - Willmington, MA","Analog Devices Inc","ANALOG DEVICES INC","Other","One Analog Way","Willmington","Massachusetts","United States","01887","Director of Facilities","Facilities and Institutions","Hot","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1002299","SOLUTIA INC - INDIAN ORCHARD PLANT - Springfield, MA","SOLUTIA INC - INDIAN ORCHARD PLANT","EASTMAN CHEMICAL CO","Other","730 WORCESTER STREET","Springfield","Massachusetts","United States","01151","Director of Facilities","Facilities and Institutions","Hot","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1003037","SAINT-GOBAIN ABRASIVES and SAINT-GOBAIN CERAMICS & PLASTICS, INC. - Worcester, MA","SAINT-GOBAIN ABRASIVES and SAINT-GOBAIN CERAMICS & PLASTICS, INC.","SAINT-GOBAIN CORP","Minerals","1 NEW BOND STREET","Worcester","Massachusetts","United States","01615","Plant Manager","Industrial High-Load","Hot","Industrial process-load prospect with potential power and natural-gas purchasing needs."
"GHGRP-1002834","Gorham Acquisition LLC - Gorham, NH","Gorham Acquisition LLC","GORHAM ACQUISITION LLC","Pulp and Paper","72 CASCADE FLATS","Gorham","New Hampshire","United States","03581","Energy Manager","Industrial High-Load","Hot","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1007879","WM of NH - TREE (Turnkey Landfill) - Gonic, NH","WM of NH - TREE (Turnkey Landfill)","WASTE MANAGEMENT INC","Waste","90 Rochester Neck Road","Gonic","New Hampshire","United States","03839","Director of Operations","Waste and Environmental","Hot","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1002744","SOUTHEASTERN CT RESOURCE RECOVERY FACILITY - Preston, CT","SOUTHEASTERN CT RESOURCE RECOVERY FACILITY","COVANTA HOLDING CORP","Waste","132 MILITARY HIGHWAY","Preston","Connecticut","United States","06365","Director of Operations","Waste and Environmental","Hot","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1003726","GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility - Essex Junction, VT","GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility","GLOBALFOUNDRIES US INC","Other","1000 RIVER STREET - B966","Essex Junction","Vermont","United States","05452","Director of Facilities","Facilities and Institutions","Hot","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1004800","YALE UNIVERSITY - SCHOOL OF MEDICINE - New Haven, CT","YALE UNIVERSITY - SCHOOL OF MEDICINE","THE YALE CORP","Other","309 CONGRESS AVE","New Haven","Connecticut","United States","06520","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1000338","TORAY PLASTICS (AMERICA), INC. - North Kingstown, RI","TORAY PLASTICS (AMERICA), INC.","TORAY INDUSTRIES AMERICA INC","Other","50 BELVER AVENUE","North Kingstown","Rhode Island","United States","02852","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1004835","YALE UNIVERSITY CENTRAL POWER PLANT - New Haven, CT","YALE UNIVERSITY CENTRAL POWER PLANT","THE YALE CORP","Other","120 TOWER PARKWAY","New Haven","Connecticut","United States","06520","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1004266","UNIVERSITY OF CONNECTICUT - Storrs Mansfield, CT","UNIVERSITY OF CONNECTICUT","STATE OF CONNECTICUT","Other","25 LEDOYT RD, U-3252","Storrs Mansfield","Connecticut","United States","06269","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1006941","Pfizer - Groton, CT","Pfizer","PFIZER INC","Other","445 EASTERN POINT ROAD","Groton","Connecticut","United States","06340","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1002437","SIKORSKY AIRCRAFT HEADQUARTERS - Stratford, CT","SIKORSKY AIRCRAFT HEADQUARTERS","LOCKHEED MARTIN CORP","Other","6900 MAIN ST.","Stratford","Connecticut","United States","06615","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1002274","Boston University - Boston, MA","Boston University","TRUSTEES OF BOSTON UNIVERSITY","Other","120 Ashford Street","Boston","Massachusetts","United States","02134","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1002497","GILLETTE CO - Boston, MA","GILLETTE CO","THE PROCTER & GAMBLE CO","Other","1 GILLETTE PARK","Boston","Massachusetts","United States","02127","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1000593","JGT2 Mill - Jay, ME","JGT2 Mill","PIXELLE SPECIALTY SOLUTIONS LLC","Pulp and Paper,Waste","300 RILEY RD","Jay","Maine","United States","04239","Energy Manager","Industrial High-Load","Warm","High-load manufacturing and waste operation; prioritize energy and procurement stakeholders."
"GHGRP-1003759","Analog Devices, Inc./ Wilmington Manufacturing - Wilmington, MA","Analog Devices, Inc./ Wilmington Manufacturing","ANALOG DEVICES INC","Other","1 Analog Way, MS-424","Wilmington","Massachusetts","United States","01887","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1002717","Gold Bond - POR Plant - Portsmouth, NH","Gold Bond - POR Plant","SPANGLER COMPANIES INC","Minerals","9 MICHAEL J SUCCI DR","Portsmouth","New Hampshire","United States","03801","Plant Manager","Industrial High-Load","Warm","Industrial process-load prospect with potential power and natural-gas purchasing needs."
"GHGRP-1006872","U S AIR FORCE HANSCOM AFB - Hanscom Afb, MA","U S AIR FORCE HANSCOM AFB","US GOVERNMENT","Other","66 ABG/CE, 120 Grenier Street","Hanscom Afb","Massachusetts","United States","01731","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1006423","WestRock Converting LLC - Missisquoi Mill - Sheldon Springs, VT","WestRock Converting LLC - Missisquoi Mill","WESTROCK CO","Pulp and Paper","369 MILL STREET","Sheldon Springs","Vermont","United States","05485","Energy Manager","Industrial High-Load","Warm","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1005277","NORTHEASTERN UNIVERSITY - Boston, MA","NORTHEASTERN UNIVERSITY","NORTHEASTERN UNIVERSITY","Other","360 HUNTINGTON AVENUE","Boston","Massachusetts","United States","02115","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1001200","General Electric Aviation - Lynn, MA","General Electric Aviation","GENERAL ELECTRIC CO","Other","1000 WESTERN AVE","Lynn","Massachusetts","United States","01910","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1009735","Skyworks Solutions, Inc. - Woburn, MA","Skyworks Solutions, Inc.","SKYWORKS SOLUTIONS INC","Other","20 Sylvan Road","Woburn","Massachusetts","United States","01801","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1011427","Huhtamaki, Inc. - Waterville, ME","Huhtamaki, Inc.","HUHTAMAKI AMERICAS INC","Pulp and Paper","242 College Avenue","Waterville","Maine","United States","04093","Energy Manager","Industrial High-Load","Warm","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1004817","Wyman-Gordon Company - North Grafton, MA","Wyman-Gordon Company","BERKSHIRE HATHAWAY INC","Other","244 Worcester Street","North Grafton","Massachusetts","United States","01536","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1006452","MASSPORT LOGAN AIRPORT - East Boston, MA","MASSPORT LOGAN AIRPORT","MASSACHUSETTS PORT AUTHORITY","Other","ONE HARBORSIDE DRIVE","East Boston","Massachusetts","United States","02128","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1007069","ND OTM LLC - Old Town, ME","ND OTM LLC","ND PAPER LLC","Pulp and Paper","24 PORTLAND STREET","Old Town","Maine","United States","04468","Energy Manager","Industrial High-Load","Warm","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1005123","S D WARREN CO - Westbrook, ME","S D WARREN CO","SAPPI NORTH AMERICA INC","Pulp and Paper","89 CUMBERLAND STREET","Westbrook","Maine","United States","04092","Energy Manager","Industrial High-Load","Warm","High-load manufacturing prospect with a clear energy-management and procurement use case."
"GHGRP-1005172","COVANTA BRISTOL, INC - Bristol, CT","COVANTA BRISTOL, INC","COVANTA HOLDING CORP","Waste","170 ENTERPRISE DRIVE","Bristol","Connecticut","United States","06010","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1004184","MANCHESTER LANDFILL - Manchester, CT","MANCHESTER LANDFILL","TOWN OF MANCHESTER CONNECTICUT","Waste","1 LANDFILL WAY","Manchester","Connecticut","United States","06040","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1004540","Wheelabrator Lisbon Inc. - Lisbon, CT","Wheelabrator Lisbon Inc.","WHEELABRATOR TECHNOLOGIES HOLDINGS INC","Waste","425 SOUTH BURNHAM HIGHWAY","Lisbon","Connecticut","United States","06351","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1005255","NORTH COUNTRY ENVIRONMENTAL SERVICES INC - Bethlehem, NH","NORTH COUNTRY ENVIRONMENTAL SERVICES INC","CASELLA WASTE SYSTEMS INC","Waste","581 TRUDEAU ROAD","Bethlehem","New Hampshire","United States","03574","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1006369","WHEELABRATOR CONCORD COMPANY LP - Concord (Penacook), NH","WHEELABRATOR CONCORD COMPANY LP","WHEELABRATOR TECHNOLOGIES HOLDINGS INC","Waste","11 WHITNEY ROAD","Concord (Penacook)","New Hampshire","United States","03303","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1004698","PORTSMOUTH NAVAL SHIPYARD - Kittery, ME","PORTSMOUTH NAVAL SHIPYARD","US GOVERNMENT","Other","Code 106.3, Building 44/2, SEAVEY ISLAND","Kittery","Maine","United States","03904","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1010208","Texas Instruments Incorporated - Maine Fab - South Portland, ME","Texas Instruments Incorporated - Maine Fab","TEXAS INSTRUMENTS INC","Other","5 Foden Road","South Portland","Maine","United States","04106","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1005213","HAVERHILL LANDFILL - Haverhill, MA","HAVERHILL LANDFILL","COVANTA HOLDING CORP","Waste","100 RECOVERY WAY","Haverhill","Massachusetts","United States","01835","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1005715","Carver-Marion-Wareham Landfill - Carver, MA","Carver-Marion-Wareham Landfill","COVANTA HOLDING CORP","Waste","118 Federal Road","Carver","Massachusetts","United States","02330","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1007753","FITCHBURG WESTMINSTER LANDFILL RECYCLING CENTER - Westminster, MA","FITCHBURG WESTMINSTER LANDFILL RECYCLING CENTER","WASTE MANAGEMENT INC","Waste","101 FITCHBURG RD","Westminster","Massachusetts","United States","01473","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1002593","NORTHAMPTON LANDFILL - Northampton, MA","NORTHAMPTON LANDFILL","CITY OF NORTHAMPTON MASSACHUSETTS","Waste","170 GLENDALE RD","Northampton","Massachusetts","United States","01060","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1007669","CHICOPEE SANITARY LANDFILL - Chicopee, MA","CHICOPEE SANITARY LANDFILL","WASTE MANAGEMENT INC","Waste","161 NEW LOMBARD ROAD","Chicopee","Massachusetts","United States","01020","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1005254","SOUTHBRIDGE RECYCLING & DISPOSAL PARK - Southbridge, MA","SOUTHBRIDGE RECYCLING & DISPOSAL PARK","CASELLA WASTE SYSTEMS INC","Waste","165 BAREFOOT RD","Southbridge","Massachusetts","United States","01550","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1010391","Middleborough Landfill - Middleborough, MA","Middleborough Landfill","WASTE MANAGEMENT INC","Waste","207 Plympton Street","Middleborough","Massachusetts","United States","02346","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1003587","MARTONE LANDFILL & GAS GENERATING FACILITY - Barre, MA","MARTONE LANDFILL & GAS GENERATING FACILITY","WASTE MANAGEMENT INC","Waste","99 BARRE DEPOT RD","Barre","Massachusetts","United States","01005","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1003532","TAUNTON SANITARY LANDFILL - Taunton, MA","TAUNTON SANITARY LANDFILL","WASTE MANAGEMENT INC","Waste","330 EAST BRITANNIA ST","Taunton","Massachusetts","United States","02780","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1004557","PLAINVILLE LANDFILL - Plainville, MA","PLAINVILLE LANDFILL","REPUBLIC SERVICES INC","Waste","14 BELCHER STREET","Plainville","Massachusetts","United States","02762","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1007685","GRANBY SANITARY LANDFILL - Granby, MA","GRANBY SANITARY LANDFILL","WASTE MANAGEMENT INC","Waste","11 NEW LUDLOW ROAD","Granby","Massachusetts","United States","01033","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1007550","HALIFAX LANDFILL - Halifax, MA","HALIFAX LANDFILL","REPUBLIC SERVICES INC","Waste","27 LAUREL STREET","Halifax","Massachusetts","United States","02338","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1005587","R I HOSPITAL - Providence, RI","R I HOSPITAL","LIFESPAN CORP","Other","593 EDDY ST.","Providence","Rhode Island","United States","02903","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1005264","DARTMOUTH COLLEGE HEATING PLANT - Hanover, NH","DARTMOUTH COLLEGE HEATING PLANT","TRUSTEES OF DARTMOUTH COLLEGE","Other","MCKENZIE HALL 6111","Hanover","New Hampshire","United States","03755","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1004983","FRITO-LAY - Killingly (Dayville), CT","FRITO-LAY","PEPSICO INC","Other","1886 UPPER MAPLE ST","Killingly (Dayville)","Connecticut","United States","06241","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1002311","Naval Submarine Base New London - Groton, CT","Naval Submarine Base New London","US GOVERNMENT","Other","","Groton","Connecticut","United States","06349","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1004295","PRATT & WHITNEY MIDDLETOWN - Middletown, CT","PRATT & WHITNEY MIDDLETOWN","RTX CORP","Other","1 AIRCRAFT ROAD","Middletown","Connecticut","United States","06457","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1008928","Hamilton Sundstrand Corporation - Windsor Locks, CT","Hamilton Sundstrand Corporation","RTX CORP","Other","1 Hamilton Road","Windsor Locks","Connecticut","United States","06096","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1003597","Mohegan Tribe of Indians of Connecticut - Uncasville, CT","Mohegan Tribe of Indians of Connecticut","MOHEGAN TRIBE OF INDIANS OF CONNECTICUT","Other","13 Crow Hill Road","Uncasville","Connecticut","United States","06382","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1001811","BROWN UNIVERSITY MAIN CAMPUS - Providence, RI","BROWN UNIVERSITY MAIN CAMPUS","Brown University","Other","164 ANGELL STREET","Providence","Rhode Island","United States","02912","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1012083","University of New Hampshire - Durham, NH","University of New Hampshire","UNIVERSITY SYSTEM OF NEW HAMPSHIRE","Other","22 Colovos Road","Durham","New Hampshire","United States","03824","Director of Facilities","Facilities and Institutions","Warm","General commercial or institutional facility; validate site portfolio and purchasing authority."
"GHGRP-1005253","JUNIPER RIDGE LANDFILL - Old Town, ME","JUNIPER RIDGE LANDFILL","CASELLA WASTE SYSTEMS INC","Waste","2828 BENNOCH RD","Old Town","Maine","United States","04468","Director of Operations","Waste and Environmental","Warm","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1005261","NEWSVT LANDFILL - Coventry, VT","NEWSVT LANDFILL","CASELLA WASTE SYSTEMS INC","Waste","21 Landfill Lane","Coventry","Vermont","United States","05855","Director of Operations","Waste and Environmental","Cold","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1005673","REGIONAL WASTE SYSTEMS INCORPORATED - Portland, ME","REGIONAL WASTE SYSTEMS INCORPORATED","ECOMAINE","Waste","64 BLUEBERRY RD","Portland","Maine","United States","04102","Director of Operations","Waste and Environmental","Cold","Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs."
"GHGRP-1006864","Bellingham Power Generation LLC - Bellingham, MA","Bellingham Power Generation LLC","Vistra Corp","Power Plants","155 MAPLE ST","Bellingham","Massachusetts","United States","02019","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1006657","Blackstone Power Generation LLC - Blackstone, MA","Blackstone Power Generation LLC","Vistra Corp","Power Plants","204 ELM ST","Blackstone","Massachusetts","United States","01504","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1001410","Fore River Energy Center - Weymouth, MA","Fore River Energy Center","CPN MANAGEMENT LP","Power Plants","9 BRIDGE ST","Weymouth","Massachusetts","United States","02191","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000657","Kendall Green Energy - Cambridge, MA","Kendall Green Energy","VICINITY ENERGY INC","Power Plants","265 FIRST ST","Cambridge","Massachusetts","United States","02142","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
"GHGRP-1000653","Mystic - Charlestown, MA","Mystic","CONSTELLATION ENERGY CORP","Power Plants","173 ALFORD ST","Charlestown","Massachusetts","United States","02129","Plant Manager","Market Intelligence - Generation","Cold","Generation facility; low end-customer fit, retained for market context and qualification practice."
