Prospect_ID,External_ID,EPA_Facility_ID,Account_Name,Account_Site,Parent_Company,Parent_Ownership_Pct,Industry_Sector,NAICS_Code,City,State,ZIP_Code,Address,County,Latitude,Longitude,Total_Direct_Emissions_mtCO2e,Operational_Scale_Band,Target_Decision_Maker_Role,Secondary_Decision_Maker_Role,Decision_Maker_Data_Type,Campaign_Segment,Suggested_Owner,Account_Research_Status,Contact_Research_Status,Qualification_Notes,Facility_Source_URL,Parent_Company_Source_URL,Source_Dataset,Source_As_Of_Date,Research_Date,State_Points_Reference,Sector_Points_Reference,Scale_Points_Reference,Data_Quality_Points_Reference,Viability_Points_Reference,Lead_Score_Reference,Lead_Rank_Reference,Lead_Priority_Reference
NE-011,GHGRP-1005037,1005037,"ERVING PAPER MILLS INC - Erving, MA",ERVING PAPER MILLS INC,ERVING INDUSTRIES INC,100.0,Pulp and Paper,322120,Erving,MA,01344,97 EAST MAIN STREET,Franklin County,42.60008,-72.37838,34874.012,Small Reporting Load,Energy Manager,Director of Procurement,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,High-load manufacturing prospect with a clear energy-management and procurement use case.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,30,10,10,10,80,11,High
NE-012,GHGRP-1005970,1005970,"NEWARK AMERICA - Fitchburg, MA",NEWARK AMERICA,GREIF INC,100.0,Pulp and Paper,322130,Fitchburg,MA,01420,100 NEWARK WAY,Worcester County,42.560572,-71.849629,23287.812,Small Reporting Load,Energy Manager,Director of Procurement,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,High-load manufacturing prospect with a clear energy-management and procurement use case.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,30,10,10,10,80,12,High
NE-013,GHGRP-1005179,1005179,"COVANTA HAVERHILL INC - Haverhill, MA",COVANTA HAVERHILL INC,COVANTA HOLDING CORP,100.0,Waste,562213,Haverhill,MA,01835,100 RECOVERY WAY,Essex County,42.7654,-71.124025,235182.938,Large Reporting Load,Director of Operations,Facilities Manager,Role-based target; individual person not yet verified,Waste and Environmental,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,"Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs.",https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,20,20,10,9,79,13,High
NE-014,GHGRP-1006267,1006267,"WHEELABRATOR MILLBURY INC - Millbury, MA",WHEELABRATOR MILLBURY INC,WHEELABRATOR TECHNOLOGIES HOLDINGS INC,100.0,Waste,562213,Millbury,MA,01527,331 SOUTHWEST CUTOFF,Worcester County,42.220747,-71.765208,215001.77,Large Reporting Load,Director of Operations,Facilities Manager,Role-based target; individual person not yet verified,Waste and Environmental,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,"Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs.",https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,20,20,10,9,79,14,High
NE-015,GHGRP-1004101,1004101,"WHEELABRATOR NORTH ANDOVER INC. - North Andover, MA",WHEELABRATOR NORTH ANDOVER INC.,WHEELABRATOR TECHNOLOGIES HOLDINGS INC,100.0,Waste,562213,North Andover,MA,01845,285 HOLT ROAD,Essex County,42.726075,-71.122203,200789.514,Large Reporting Load,Director of Operations,Facilities Manager,Role-based target; individual person not yet verified,Waste and Environmental,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,"Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs.",https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,20,20,10,9,79,15,High
NE-016,GHGRP-1004287,1004287,"Wheelabrator Saugus Inc. - Saugus, MA",Wheelabrator Saugus Inc.,WHEELABRATOR TECHNOLOGIES HOLDINGS INC,100.0,Waste,562213,Saugus,MA,01906,100 SALEM TURNPIKE,Essex County,42.447211,-70.980472,144607.686,Large Reporting Load,Director of Operations,Facilities Manager,Role-based target; individual person not yet verified,Waste and Environmental,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,"Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs.",https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,20,20,10,9,79,16,High
NE-017,GHGRP-1003594,1003594,"DRAGON CEMENT - Thomaston, ME",DRAGON CEMENT,GIANT CEMENT HOLDING INC,100.0,Minerals,327310,Thomaston,ME,04861,107 NEW COUNTY RD,Knox County,44.08401,-69.157238,236952.996,Large Reporting Load,Plant Manager,Director of Strategic Sourcing,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep C - Northern New England,Verified from EPA source,Role identified; person not yet verified,Industrial process-load prospect with potential power and natural-gas purchasing needs.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,12,26,20,10,10,78,17,High
NE-018,GHGRP-1004343,1004343,"Pfizer - Andover, MA",Pfizer,PFIZER INC,100.0,Chemicals,325414,Andover,MA,01810,1 BURTT RD.,Essex County,42.61413,-71.16952,47362.816,Small Reporting Load,Plant Manager,Energy Procurement Manager,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,Energy-intensive industrial facility; prioritize operational and procurement stakeholders.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,28,10,10,10,78,18,High
NE-019,GHGRP-1001068,1001068,"Rousselot Peabody, Inc. - Peabody, MA","Rousselot Peabody, Inc.",ROUSSELOT INC,100.0,Chemicals,325998,Peabody,MA,01960,227 WASHINGTON ST.,Essex County,42.521667,-70.939444,34489.42,Small Reporting Load,Plant Manager,Energy Procurement Manager,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,Energy-intensive industrial facility; prioritize operational and procurement stakeholders.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,28,10,10,10,78,19,High
NE-020,GHGRP-1000383,1000383,"BIOGEN INC - Cambridge, MA",BIOGEN INC,BIOGEN INC,100.0,Chemicals,325414,Cambridge,MA,02142,225 Binney Street,Middlesex County,42.36608,-71.08513,28268.192,Small Reporting Load,Plant Manager,Energy Procurement Manager,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,Energy-intensive industrial facility; prioritize operational and procurement stakeholders.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,28,10,10,10,78,20,High
NE-021,GHGRP-1006902,1006902,"UMASS MEDICAL SCHOOL - Worcester, MA",UMASS MEDICAL SCHOOL,COMMONWEALTH OF MASSACHUSETTS,100.0,Other,611310,Worcester,MA,01655,55 LAKE AVE NORTH,Worcester County,42.27863,-71.759025,86068.908,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,22,15,10,10,77,21,High
NE-022,GHGRP-1000656,1000656,"The President and Fellows of Harvard University (Cambridge Allston Blackstone) - Cambridge, MA",The President and Fellows of Harvard University (Cambridge Allston Blackstone),PRESIDENT & FELLOWS OF HARVARD COLLEGE,100.0,Other,611310,Cambridge,MA,02139,46 Blackstone Street,Middlesex,42.3636,-71.1161,79476.042,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,22,15,10,10,77,22,High
NE-023,GHGRP-1001974,1001974,"Georgia-Pacific Gypsum - Newington, NH",Georgia-Pacific Gypsum,KOCH INDUSTRIES INC,100.0,Minerals,327420,Newington,NH,03801,170 Shattuck Way,Rockingham County,43.101421,-70.80188,68768.528282,Mid Reporting Load,Plant Manager,Director of Strategic Sourcing,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep C - Northern New England,Verified from EPA source,Role identified; person not yet verified,Industrial process-load prospect with potential power and natural-gas purchasing needs.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,26,15,10,10,77,23,High
NE-024,GHGRP-1009982,1009982,"Analog Devices Inc - Willmington, MA",Analog Devices Inc,ANALOG DEVICES INC,100.0,Other,334413,Willmington,MA,01887,One Analog Way,Washington County,45.502117,-122.824922,60623.475335,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,22,15,10,10,77,24,High
NE-025,GHGRP-1002299,1002299,"SOLUTIA INC - INDIAN ORCHARD PLANT - Springfield, MA",SOLUTIA INC - INDIAN ORCHARD PLANT,EASTMAN CHEMICAL CO,100.0,Other,326113,Springfield,MA,01151,730 WORCESTER STREET,Hampden County,42.154981,-72.526419,59347.076,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,22,15,10,10,77,25,High
NE-026,GHGRP-1003037,1003037,"SAINT-GOBAIN ABRASIVES and SAINT-GOBAIN CERAMICS & PLASTICS, INC. - Worcester, MA","SAINT-GOBAIN ABRASIVES and SAINT-GOBAIN CERAMICS & PLASTICS, INC.",SAINT-GOBAIN CORP,100.0,Minerals,327910,Worcester,MA,01615,1 NEW BOND STREET,Worcester County,42.3048,-71.8015,43771.242,Small Reporting Load,Plant Manager,Director of Strategic Sourcing,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep A - Massachusetts,Verified from EPA source,Role identified; person not yet verified,Industrial process-load prospect with potential power and natural-gas purchasing needs.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,20,26,10,10,10,76,26,High
NE-027,GHGRP-1002834,1002834,"Gorham Acquisition LLC - Gorham, NH",Gorham Acquisition LLC,GORHAM ACQUISITION LLC,100.0,Pulp and Paper,322120,Gorham,NH,03581,72 CASCADE FLATS,Coos County,44.443738,-71.187308,12626.952,Small Reporting Load,Energy Manager,Director of Procurement,Role-based target; individual person not yet verified,Industrial High-Load,Sales Rep C - Northern New England,Verified from EPA source,Role identified; person not yet verified,High-load manufacturing prospect with a clear energy-management and procurement use case.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,30,10,10,10,76,27,High
NE-028,GHGRP-1007879,1007879,"WM of NH - TREE (Turnkey Landfill) - Gonic, NH",WM of NH - TREE (Turnkey Landfill),WASTE MANAGEMENT INC,100.0,Waste,562212,Gonic,NH,03839,90 Rochester Neck Road,Strafford County,43.273087,-70.990344,128922.32,Large Reporting Load,Director of Operations,Facilities Manager,Role-based target; individual person not yet verified,Waste and Environmental,Sales Rep C - Northern New England,Verified from EPA source,Role identified; person not yet verified,"Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs.",https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,20,20,10,9,75,28,High
NE-029,GHGRP-1002744,1002744,"SOUTHEASTERN CT RESOURCE RECOVERY FACILITY - Preston, CT",SOUTHEASTERN CT RESOURCE RECOVERY FACILITY,COVANTA HOLDING CORP,100.0,Waste,562213,Preston,CT,06365,132 MILITARY HIGHWAY,New London County,41.475589,-72.068786,103872.84,Large Reporting Load,Director of Operations,Facilities Manager,Role-based target; individual person not yet verified,Waste and Environmental,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,"Waste-sector facility; qualify electricity, natural-gas, and multi-site purchasing needs.",https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,20,20,10,9,75,29,High
NE-030,GHGRP-1003726,1003726,"GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility - Essex Junction, VT",GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,GLOBALFOUNDRIES US INC,100.0,Other,334413,Essex Junction,VT,05452,1000 RIVER STREET - B966,Chittenden County,44.481839,-73.090501,142164.617172,Large Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep C - Northern New England,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,12,22,20,10,10,74,30,High
NE-031,GHGRP-1004800,1004800,"YALE UNIVERSITY - SCHOOL OF MEDICINE - New Haven, CT",YALE UNIVERSITY - SCHOOL OF MEDICINE,THE YALE CORP,100.0,Other,611310,New Haven,CT,06520,309 CONGRESS AVE,New Haven County,41.30291,-72.932742,98780.96,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,22,15,10,10,73,31,Medium
NE-032,GHGRP-1000338,1000338,"TORAY PLASTICS (AMERICA), INC. - North Kingstown, RI","TORAY PLASTICS (AMERICA), INC.",TORAY INDUSTRIES AMERICA INC,100.0,Other,326112,North Kingstown,RI,02852,50 BELVER AVENUE,Washington County,41.592096,-71.427317,95863.888,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,22,15,10,10,73,32,Medium
NE-033,GHGRP-1004835,1004835,"YALE UNIVERSITY CENTRAL POWER PLANT - New Haven, CT",YALE UNIVERSITY CENTRAL POWER PLANT,THE YALE CORP,100.0,Other,611310,New Haven,CT,06520,120 TOWER PARKWAY,New Haven County,41.313361,-72.979289,95583.674,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,22,15,10,10,73,33,Medium
NE-034,GHGRP-1004266,1004266,"UNIVERSITY OF CONNECTICUT - Storrs Mansfield, CT",UNIVERSITY OF CONNECTICUT,STATE OF CONNECTICUT,100.0,Other,611310,Storrs Mansfield,CT,06269,"25 LEDOYT RD, U-3252",Tolland County,41.809771,-72.261402,95455.93,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,22,15,10,10,73,34,Medium
NE-035,GHGRP-1006941,1006941,"Pfizer - Groton, CT",Pfizer,PFIZER INC,100.0,Other,541714,Groton,CT,06340,445 EASTERN POINT ROAD,New London,41.3319,-72.0792,88454.382,Mid Reporting Load,Director of Facilities,Energy and Sustainability Manager,Role-based target; individual person not yet verified,Facilities and Institutions,Sales Rep B - Connecticut/Rhode Island,Verified from EPA source,Role identified; person not yet verified,General commercial or institutional facility; validate site portfolio and purchasing authority.,https://www.epa.gov/ghgreporting/data-sets,https://www.epa.gov/system/files/other-files/2024-10/ghgp_data_parent_company.xlsb,EPA GHGRP 2023 Direct Point Emitters,2024-08-16,2026-07-30,16,22,15,10,10,73,35,Medium
